[16:53:04]   dism[install]: Installing 95 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\SCSI\adpenc.inf: The driver package was successfully installed.
[16:53:04]   dism[install]: Installing 96 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\WS\adpenc.inf: The driver package was successfully installed.
[16:53:04]   dism[install]: Installing 97 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\WS\arc.inf: The driver package was successfully installed.
[16:53:05]   dism[install]: Installing 98 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\5x64\WS\arcsas.inf: The driver package was successfully installed.
[16:53:05]   dism[install]: Installing 99 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\7x64\ADP_1.4.0.11068\ADP80XX.inf: The driver package was successfully installed.
[16:53:05]   dism[install]: Installing 100 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\7x64\HBA_7.5.0.59002\adpenc.inf: The driver package was successfully installed.
[16:53:06]   dism[install]: Installing 101 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\7x64\HBA_7.5.0.59002\archba.inf: The driver package was successfully installed.
[16:53:06]   dism[install]: Installing 102 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\7x64\SAS_7.5.0.58012\adpenc.inf: The driver package was successfully installed.
[16:53:06]   dism[install]: Installing 103 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\7x64\SAS_7.5.0.58012\archba.inf: The driver package was successfully installed.
[16:53:07]   dism[install]: Installing 104 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\7x64\SAS_7.5.0.58012\arcsas.inf: The driver package was successfully installed.
[16:53:07]   dism[install]: Installing 105 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\7x86\ADP_1.4.0.11068\ADP80XX.inf: The driver package was successfully installed.
[16:53:07]   dism[install]: Installing 106 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\88110x64\ADP_1.4.0.11068\adp80xx.inf: The driver package was successfully installed.
[16:53:08]   dism[install]: Installing 107 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\88110x64\HBA_7.5.0.59002\adpenc.inf: The driver package was successfully installed.
[16:53:08]   dism[install]: Installing 108 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\88110x64\HBA_7.5.0.59002\archba.inf: The driver package was successfully installed.
